,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
117,8121,04/17/2017 10:55:48.890266 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10753,D,DT,42.698692,-74.03148
118,8141,04/05/2017 14:38:45.963738 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10773,D,DT,42.698692,-74.03148
119,8162,03/30/2017 11:23:51.294492 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10794,D,DT,42.698692,-74.03148
120,8225,03/09/2017 13:22:26.262044 MST,ALTAMONT,12009,ALBANY,Albany,DT-10861,D,DT,42.698692,-74.03148
121,8291,03/17/2017 11:32:25.882109 MDT,ALTAMONT,12009,ALBANY,Albany,DT-10933,D,DT,42.698692,-74.03148
122,8365,02/14/2017 09:47:44.677042 MST,ALTAMONT,12009,ALBANY,Albany,DT-11014,D,DT,42.698692,-74.03148
123,8447,01/20/2017 13:47:38.299708 MST,ALTAMONT,12009,ALBANY,Albany,DT-11105,D,DT,42.698692,-74.03148
124,8466,01/12/2017 11:45:46.910898 MST,ALTAMONT,12009,ALBANY,Albany,DT-11124,D,DT,42.698692,-74.03148
125,8525,01/12/2017 09:41:18.850343 MST,ALTAMONT,12009,ALBANY,Albany,DT-11195,D,DT,42.698692,-74.03148
126,8557,01/18/2017 09:59:09.490091 MST,ALTAMONT,12009,ALBANY,Albany,DT-11233,D,DT,42.698692,-74.03148
127,8640,02/10/2017 12:20:03.439153 MST,ALTAMONT,12009,ALBANY,Albany,DT-8849,D,DT,42.698692,-74.03148
128,8702,02/01/2017 14:03:49.545759 MST,ALTAMONT,12009,ALBANY,Albany,DT-8931,D,DT,42.698692,-74.03148
129,8712,01/13/2017 07:19:33.343668 MST,ALTAMONT,12009,ALBANY,Albany,DT-8953,D,DT,42.698692,-74.03148
130,8745,01/24/2017 07:11:05.45917 MST,ALTAMONT,12009,ALBANY,Albany,DT-9005,D,DT,42.698692,-74.03148
131,8755,01/12/2017 08:37:48.972164 MST,ALTAMONT,12009,ALBANY,Albany,DT-9019,D,DT,42.698692,-74.03148
132,8760,01/12/2017 07:37:41.423545 MST,ALTAMONT,12009,ALBANY,Albany,DT-9026,D,DT,42.698692,-74.03148
133,1,12/26/2017 17:01:05.044047 MST,ALBANY,12209,ALBANY,Albany,FP-4500,F,FP,42.640813,-73.7856
134,4,12/22/2017 08:15:07.671706 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
135,7,12/21/2017 09:21:36.562664 MST,ALBANY,12209,ALBANY,Albany,,,,42.640813,-73.7856
136,13,12/18/2017 13:44:52.788225 MST,ALBANY,12209,ALBANY,Albany,BT-4500.4500-700,B,BT,42.640813,-73.7856
