,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
11924,01/19/2016 08:43:14.132062 MST,CLIFTON PARK,12065,SARATOGA,Saratoga,DT-9234,D,DT,43.0675747,-73.7784538
11925,01/19/2016 10:05:34.354093 MST,SARATOGA SPRINGS,12866,SARATOGA,Saratoga,DT-9235,D,DT,43.0675747,-73.7784538
11926,02/02/2016 15:01:09.759858 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11927,01/22/2016 10:12:38.837411 MST,SCHENECTADY,12301,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11928,01/22/2016 10:31:07.217068 MST,SCHENECTADY,12301,SCHENECTADY,Schenectady,PH-1000,P,PH,42.8017434,-73.927624
11929,01/22/2016 10:31:07.217068 MST,SCHENECTADY,12301,SCHENECTADY,Schenectady,PH-1000,P,PH,42.8017434,-73.927624
11930,02/02/2016 08:18:31.058424 MST,SCHENECTADY,12305,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
11931,02/02/2016 09:39:46.088469 MST,SCHENECTADY,12303,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11932,02/01/2016 10:00:25.923221 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
11933,02/02/2016 10:18:32.506507 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11934,02/02/2016 10:42:06.137598 MST,SCHENECTADY,12302,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11935,01/26/2016 08:06:05.585265 MST,SCHENECTADY,12307,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
11936,01/26/2016 09:48:45.497741 MST,SCHENECTADY,12309,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
11937,02/01/2016 12:38:53.111392 MST,SCHENECTADY,12305,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11938,06/20/2016 13:09:14.716553 MDT,SCHENECTADY,12304,SCHENECTADY,Schenectady,ND-3600.1500,N,ND,42.8017434,-73.927624
11939,02/01/2016 14:36:45.860691 MST,SCHENECTADY,12306,SCHENECTADY,Schenectady,,,,42.8017434,-73.927624
11940,02/02/2016 12:07:27.56667 MST,SCHENECTADY,12308,SCHENECTADY,Schenectady,DT-8800,D,DT,42.8017434,-73.927624
